1.94995+0i,-90+0i,-0.06539536+0.06270981i,-0.0001206398+0.000166446i
1.94995+0i,-85+0i,-0.06586838+0.06258392i,0.0001318753+-0.0001134947i
1.94995+0i,-80+0i,-0.06561661+0.06263733i,-0.000163421+2.39685e-05i
1.94995+0i,-75+0i,-0.06586075+0.06271362i,9.197742e-05+4.830956e-05i
1.94995+0i,-70+0i,-0.06552887+0.06233597i,-6.92904e-06+-7.813424e-05i
1.94995+0i,-65+0i,-0.06571198+0.06241226i,2.401695e-05+-1.194794e-05i
1.94995+0i,-60+0i,-0.06568909+0.06244659i,-0.0001682118+-3.650039e-05i
1.94995+0i,-55+0i,-0.06547546+0.06237793i,0.0001244843+0.0001732707i
1.94995+0i,-50+0i,-0.06521988+0.06283951i,0.0002463311+-0.0002495944i
1.94995+0i,-45+0i,-0.06496811+0.06296921i,-0.0002394468+-0.0001584291i
1.94995+0i,-40+0i,-0.06537628+0.06326294i,-0.0001397282+0.0001781806i
1.94995+0i,-35+0i,-0.06562042+0.06284332i,0.0001111925+0.0002187937i
1.94995+0i,-30+0i,-0.06544876+0.06302643i,0.0001144111+-2.517551e-05i
1.94995+0i,-25+0i,-0.06482697+0.06300735i,4.9755e-05+-0.0001273081i
1.94995+0i,-20+0i,-0.06534576+0.0628891i,2.10255e-05+-0.000135906i
1.94995+0i,-15+0i,-0.0651741+0.06296921i,-0.0001105219+-0.0001599044i
1.94995+0i,-10+0i,-0.06582642+0.06283188i,-7.681549e-05+-8.819997e-05i
1.94995+0i,-5+0i,-0.06531906+0.06291199i,-8.59946e-05+-0.0001678914i
1.94995+0i,0+0i,-0.06523895+0.06266403i,-3.01227e-05+-4.211441e-05i
1.94995+0i,5+0i,-0.06537628+0.06282425i,-4.582107e-05+-0.0001092702i
1.94995+0i,10+0i,-0.06575394+0.06280518i,0.000110358+-0.0001585931i
1.94995+0i,15+0i,-0.06556702+0.06284714i,0.000132978+-3.97563e-05i
1.94995+0i,20+0i,-0.0655632+0.06266785i,5.290657e-05+0.000111945i
1.94995+0i,25+0i,-0.06576157+0.06285477i,-9.389222e-05+0.0001873225i
1.94995+0i,30+0i,-0.06558228+0.06296921i,-0.0001204908+-0.0001036823i
1.94995+0i,35+0i,-0.06572342+0.06272507i,0.0001289621+-2.221018e-05i
1.94995+0i,40+0i,-0.06529236+0.06269836i,-2.572313e-05+0.0001055151i
1.94995+0i,45+0i,-0.06563568+0.0627594i,-5.873293e-05+-0.0001310185i
1.94995+0i,50+0i,-0.06552887+0.06243896i,9.005517e-05+-2.012402e-05i
1.94995+0i,55+0i,-0.06516266+0.06257629i,-6.680936e-05+3.541261e-05i
1.94995+0i,60+0i,-0.06574631+0.06274033i,9.978563e-05+3.690273e-05i
1.94995+0i,65+0i,-0.06613922+0.06236649i,-0.0001265928+5.24819e-05i
1.94995+0i,70+0i,-0.0658493+0.062397i,1.5497e-06+-0.0001348853i
1.94995+0i,75+0i,-0.06561661+0.06247711i,4.22262e-06+-2.847053e-05i
1.94995+0i,80+0i,-0.06626511+0.06246567i,5.242229e-05+9.000301e-05i
1.94995+0i,85+0i,-0.06611633+0.06243896i,-0.0002696365+8.25375e-05i
1.94995+0i,90+0i,-0.06616211+0.06215668i,0.0001049489+-0.000241369i
